from,to
ctx,lh
ctx,rh
lh,lh-insula
lh,lh-frontallobe
lh,lh-temporallobe
lh,lh-parietallobe
lh,lh-cingulate
lh,lh-occipitallobe
lh-cingulate,lh-caudalanteriorcingulate
lh-cingulate,lh-isthmuscingulate
lh-cingulate,lh-posteriorcingulate
lh-cingulate,lh-rostralanteriorcingulate
lh-frontallobe,lh-paracentral
lh-frontallobe,lh-precentral
lh-frontallobe,lh-superiorfrontal
lh-frontallobe,lh-frontalpole
lh-frontallobe,lh-middlefrontal
lh-frontallobe,lh-inferiorfrontal
lh-frontallobe,lh-orbitofrontal
lh-inferiorfrontal,lh-parsopercularis
lh-inferiorfrontal,lh-parsorbitalis
lh-inferiorfrontal,lh-parstriangularis
lh-lateralaspect,lh-bankssts
lh-lateralaspect,lh-inferiortemporal
lh-lateralaspect,lh-middletemporal
lh-lateralaspect,lh-superiortemporal
lh-lateralaspect,lh-transversetemporal
lh-medialaspect,lh-entorhinal
lh-medialaspect,lh-fusiform
lh-medialaspect,lh-parahippocampal
lh-medialaspect,lh-temporalpole
lh-middlefrontal,lh-caudalmiddlefrontal
lh-middlefrontal,lh-rostralmiddlefrontal
lh-occipitallobe,lh-cuneus
lh-occipitallobe,lh-lateraloccipital
lh-occipitallobe,lh-lingual
lh-occipitallobe,lh-pericalcarine
lh-orbitofrontal,lh-lateralorbitofrontal
lh-orbitofrontal,lh-medialorbitofrontal
lh-parietallobe,lh-inferiorparietal
lh-parietallobe,lh-postcentral
lh-parietallobe,lh-precuneus
lh-parietallobe,lh-superiorparietal
lh-parietallobe,lh-supramarginal
lh-temporallobe,lh-lateralaspect
lh-temporallobe,lh-medialaspect
rh,rh-insula
rh,rh-frontallobe
rh,rh-temporallobe
rh,rh-parietallobe
rh,rh-cingulate
rh,rh-occipitallobe
rh-cingulate,rh-caudalanteriorcingulate
rh-cingulate,rh-isthmuscingulate
rh-cingulate,rh-posteriorcingulate
rh-cingulate,rh-rostralanteriorcingulate
rh-frontallobe,rh-paracentral
rh-frontallobe,rh-precentral
rh-frontallobe,rh-superiorfrontal
rh-frontallobe,rh-frontalpole
rh-frontallobe,rh-middlefrontal
rh-frontallobe,rh-inferiorfrontal
rh-frontallobe,rh-orbitofrontal
rh-inferiorfrontal,rh-parsopercularis
rh-inferiorfrontal,rh-parsorbitalis
rh-inferiorfrontal,rh-parstriangularis
rh-lateralaspect,rh-bankssts
rh-lateralaspect,rh-inferiortemporal
rh-lateralaspect,rh-middletemporal
rh-lateralaspect,rh-superiortemporal
rh-lateralaspect,rh-transversetemporal
rh-medialaspect,rh-entorhinal
rh-medialaspect,rh-fusiform
rh-medialaspect,rh-parahippocampal
rh-medialaspect,rh-temporalpole
rh-middlefrontal,rh-caudalmiddlefrontal
rh-middlefrontal,rh-rostralmiddlefrontal
rh-occipitallobe,rh-cuneus
rh-occipitallobe,rh-lateraloccipital
rh-occipitallobe,rh-lingual
rh-occipitallobe,rh-pericalcarine
rh-orbitofrontal,rh-lateralorbitofrontal
rh-orbitofrontal,rh-medialorbitofrontal
rh-parietallobe,rh-inferiorparietal
rh-parietallobe,rh-postcentral
rh-parietallobe,rh-precuneus
rh-parietallobe,rh-superiorparietal
rh-parietallobe,rh-supramarginal
rh-temporallobe,rh-lateralaspect
rh-temporallobe,rh-medialaspect
